Date,Closing_Price,SMA20,Daily_Return,Direction,Streaks,Profit,Signal
2023-04-25,161.73902893066406,161.95135498046875,-0.009,Down,-1,167.02307891845703,
2023-04-26,161.72915649414062,162.253067779541,-0.0,Flat,-2,167.02307891845703,Buy
2023-04-27,166.32150268554688,162.63033065795898,0.028,Up,1,167.02307891845703,Hold
2023-04-28,167.5757293701172,162.99179153442384,0.008,Up,2,172.8696517944336,Sell
2023-05-01,167.48684692382812,163.2233856201172,-0.001,Down,-1,172.8696517944336,
2023-05-02,166.44984436035156,163.3404151916504,-0.006,Down,-2,172.8696517944336,
2023-05-03,165.37338256835938,163.43028640747073,-0.006,Down,-3,172.8696517944336,
2023-05-04,163.73397827148438,163.53052749633787,-0.01,Down,-4,172.8696517944336,Buy
2023-05-05,171.41748046875,163.97050247192382,0.047,Up,1,180.55315399169922,Sell
2023-05-08,171.34835815429688,164.536890411377,-0.0,Flat,-1,180.55315399169922,
2023-05-09,169.63980102539062,165.0785873413086,-0.01,Down,-2,180.55315399169922,Buy
2023-05-10,171.40760803222656,165.7432403564453,0.01,Up,1,180.55315399169922,Hold
2023-05-11,171.59524536132812,166.14766159057618,0.001,Up,2,182.50859832763672,Sell
2023-05-12,170.66561889648438,166.522883605957,-0.005,Down,-1,182.50859832763672,
2023-05-15,170.171142578125,166.872395324707,-0.003,Down,-2,182.50859832763672,
2023-05-16,170.171142578125,167.16067657470705,0.0,Flat,0,182.50859832763672,Buy
2023-05-17,170.7843017578125,167.42233352661134,0.004,Up,1,182.50859832763672,Hold
2023-05-18,173.1182403564453,167.849080657959,0.014,Up,2,182.50859832763672,Hold
2023-05-19,173.22705078125,168.36175689697268,0.001,Up,3,185.56450653076172,Sell
2023-05-22,172.27764892578125,168.8116554260254,-0.005,Down,-1,185.56450653076172,
2023-05-23,169.66676330566406,169.20804214477542,-0.015,Down,-2,185.56450653076172,Buy
2023-05-24,169.9436492919922,169.618766784668,0.002,Up,1,185.56450653076172,Hold
2023-05-25,171.08099365234375,169.85674133300782,0.007,Up,2,185.56450653076172,Hold
2023-05-26,173.49404907226562,170.15265731811525,0.014,Up,3,185.56450653076172,Hold
